Plate,Ab,Lat. °N,Lon. °E,w °/Ma
Amur,am,63.17,-122.82,0.297
Antarctica,an,65.42,-118.11,0.250
Arabia,ar,48.88,-8.49,0.559
Australia,au,33.86,37.94,0.632
Capricorn,cp,44.44,23.09,0.608
Caribbean,ca,35.20,-92.62,0.286
Cocos,co,26.93,-124.31,1.198
Eurasia,eu,48.85,-106.50,0.223
India,IN,50.37,-3.29,0.544
JuandeFuca,jf,-38.31,60.04,0.951
Lwandle,lw,51.89,-69.52,0.286
Macquarie,mq,49.19,11.05,1.144
Nazca,nz,46.23,-101.06,0.696
NorthAmerica,na,-4.85,-80.64,0.209
Nubia,nb,47.68,-68.44,0.292
Pacific,pa,-63.58,114.70,0.651
PhilippineSea,ps,-46.02,-31.36,0.910
Rivera,ri,20.25,-107.29,4.536
Sandwich,SW,-29.94,-36.87,1.362
Scotia,SC,22.52,-106.15,0.146
Somalia,sm,49.95,-84.52,0.339
SouthAmerica,sa,-22.62,-112.83,0.109
Sunda,su,50.06,-95.02,0.337
Sur,sr,-32.50,-111.32,0.107
Yangtze,yz,63.03,-116.62,0.334
AegeanSea,AS,19.43,122.87,0.124
Altiplano,AP,-6.58,-83.98,0.488
Anatolia,AT,40.11,26.66,1.210
BalmoralReef,BR,-63.74,142.06,0.490
BandaSea,BS,-1.49,121.64,2.475
BirdsHead,BH,-40.00,100.50,0.799
Burma,BU,-6.13,-78.10,2.229
Caroline,CL,-72.78,72.05,0.607
ConwayReef,CR,-20.40,170.53,3.923
Easter,EA,24.97,67.53,11.334
Futuna,FT,-16.33,178.07,5.101
Galapagos,GP,2.53,81.18,5.487
JuanFernandez,JZ,34.25,70.74,22.368
Kermadec,KE,39.99,6.46,2.347
Manus,MN,-3.67,150.27,51.569
Maoke,MO,14.25,92.67,0.774
Mariana,MA,11.05,137.84,1.306
MoluccaSea,MS,2.15,-56.09,3.566
NewHebrides,NH,0.57,-6.60,2.469
Niuafo'ou,NI,-3.29,-174.49,3.314
NorthAndes,ND,17.73,-122.68,0.116
NorthBismarck,NB,-45.04,127.64,0.856
Okhotsk,OK,30.30,-92.28,0.229
Okinawa,ON,36.12,137.92,2.539
Panama,PM,31.35,-113.90,0.317
Shetland,SL,50.71,-143.47,0.268
SolomonSea,SS,-2.87,130.62,1.703
SouthBismarck,SB,6.88,-31.89,8.111
Timor,TI,-4.44,113.50,1.864
Tonga,TO,25.87,4.48,8.942
Woodlark,WL,0.10,128.52,1.744
